"npc_brewmaster" "Панда"
"npc_tormentor" "???"
"npc_shamanka" "Старушка"
"npc_gate_troll_uruk" "Урюк"
"npc_gate_troll_biruk" "Бирюк"
"npc_gate_troll_diruk" "Дирюк"
"npc_guide" "Гид"
"npc_creep_rogach" "Крип-рогач"
"npc_mustache" "Усач"
"npc_blue_prince" "Синий принц"
"npc_creep_bob" "Боб"
"npc_monkey_king" "Быдло"
"npc_ogre_magi" "Сиамский огр"
"npc_rape_victim" "Камыш"
"npc_predvestnik" "Раздраженный крип"
"npc_mystery" "Загадочный крип"
"npc_templar_assasin" "Хранительница тайн"
"npc_alchemist" "Алхимик"
"npc_scientist" "Учёный"
"npc_red" "Красный"
"npc_concert_guard" "Вышибала"
"npc_xavier" "xaviersobased"
"npc_island_guard"		"Страж острова"
"npc_genius"		"Гений"
"npc_gorilla"       "Горилла"
"npc_perekup"       "Перекуп"
"npc_training_dummy" "Тренировочный манекен"
"npc_goden" "Годень"
"npc_goden_summon" "Солдат Годеня"
"npc_island_fiend" "Исчадие Тени"
"npc_island_demon" "Теневой Демон"
"npc_ball" "Чревоугодие"
"npc_derek" "Зверь Пустоши"
"npc_george" "Джордж Богоподобный"
"npc_flask_barrel" "Бочка"
"npc_chaser"        "Преследователь"
"npc_leader"        "Глава"
"npc_minigame_barrel"        "Бочка"
"npc_subway_city"        "Терминал М.Е.Т.Р.О."
"npc_subway_fake"        "Подозрительный терминал"
"npc_subway_to_city"        "Терминал М.Е.Т.Р.О."
"npc_ghetto_melee"        "Член CREEPS"
"npc_ghetto_ranged"        "Член CREEPS"
"npc_gangster"            "Главарь CREEPS"
"npc_bomb_place"        "Место для бомбы"
"npc_dream"        "Крип с мечтой"
"npc_dream_golden"        "Крип-нигер"
"npc_shooter"        "Скулшутер"
"npc_shooter_ending"        "Скулшутер"
"npc_shooter_ending_mini"        "Скулшутер"
"npc_cat_barrel"        "Коты-бочки"
"npc_ogre_bruiser"        "Огр-громила"
"npc_concert_wk"       "Чей-то батя"
"npc_concert_lina"       "Фанатка"
"npc_concert_meepo"      "Алексей Шевцов"
"npc_concert_legion"     "Мулатка"
"npc_hermit"    "Отшельник"
"npc_trap_skeleton"   "P diddy"
"npc_green" "Зелёный"
